V0000330143	それはとってもいい話だ。	それ	それはとってもいい 話[はなし]だ。	
V0000330144	それを一つください。	一つ	それを 一[ひと]つください。	
V0000330145	一から始めましょう。	一	一[いち]から 始[はじ]めましょう。	
V0000330146	その人には二回会った。	二	その 人[ひと]には 二[に] 回会[かい あ]った。	
V0000330147	ソフトクリームを二つください。	二つ	ソフトクリームを 二[ふた]つください。	
V0000330148	彼女は三人の子供の母親だ。	三	彼女[かのじょ]は 三[さん] 人[にん]の 子供[こども]の 母親[ははおや]だ。	
V0000330149	コップを三つ買いました。	三つ	コップを 三[みっ]つ 買[か]いました。	
V0000330150	私は腕時計を四つ持っています。	四つ	私[わたし]は 腕時計[うでどけい]を 四[よっ]つ 持[も]っています。	
V0000330151	四月に大学に入学しました。	四	四[し] 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。	
V0000330152	これをください。	これ	これをください。	
V0000330153	ハワイは四回目です。	四	ハワイは 四[よん] 回目[かいめ]です。	
V0000330154	桃を五つください。	五つ	桃[もも]を 五[いつ]つください。	
V0000330155	五人で旅行に行きました。	五	五[ご] 人[にん]で 旅行[りょこう]に 行[い]きました。	
V0000330156	息子は六つになりました。	六つ	息子[むすこ]は 六[むっ]つになりました。	
V0000330157	彼には子供が六人います。	六	彼[かれ]には 子供[こども]が 六[ろく] 人[にん]います。	
V0000330158	バナナが七本あります。	七	バナナが 七[なな] 本[ほん]あります。	
V0000330159	この子は今年七つになります。	七つ	この 子[こ]は 今年[ことし] 七[なな]つになります。	
V0000330160	りんごを八個ください。	八	りんごを 八[はち] 個[こ]ください。	
V0000330161	あの家には時計が八つあります。	八つ	あの 家[いえ]には 時計[とけい]が 八[やっ]つあります。	
V0000330162	彼は医者になりました。	なる	彼[かれ]は 医者[いしゃ]になりました。	
V0000330163	野球は九人で1チームです。	九	野球[やきゅう]は 九[きゅう] 人[にん]で 1[ひと]チームです。	
V0000330164	娘は明日九つになります。	九つ	娘[むすめ]は 明日[あす] 九[ここの]つになります。	
V0000330165	その子は指で十数えました。	十	その 子[こ]は 指[ゆび]で 十[じゅう] 数[かぞ]えました。	
V0000330166	私の祖母は百才です。	百	私[わたし]の 祖母[そぼ]は 百[ひゃく] 才[さい]です。	
V0000330167	千円貸してください。	千	千[せん] 円貸[えん か]してください。	
V0000330168	この靴は1万円です。	万	この 靴[くつ]は 1[いち] 万[まん] 円[えん]です。	
V0000330169	そこに大きな円を描いて。	円	そこに 大[おお]きな 円[えん]を 描[か]いて。	
V0000330170	カレーライスは700円です。	円	カレーライスは 700[ななひゃく] 円[えん]です。	
V0000330171	時の経つのは早い。	時	時[とき]の 経[た]つのは 早[はや]い。	
V0000330172	友達と一緒に宿題をした。	する	友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]をした。	
V0000330173	彼は時々遅刻します。	時々	彼[かれ]は 時々[ときどき] 遅刻[ちこく]します。	
V0000330174	私たちは先月11日に結婚しました。	日	私[わたし]たちは 先月11[せんげつ じゅういち] 日[にち]に 結婚[けっこん]しました。	
V0000330175	六日前に日本に帰ってきました。	六日	六日[むいか] 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。	
V0000330176	手紙が届くのに三日かかりました。	三日	手紙[てがみ]が 届[とど]くのに 三日[みっか]かかりました。	
V0000330177	五月五日は祝日です	五日	五月[ごがつ] 五日[いつか]は 祝日[しゅくじつ]です	
